Cruise,Station,FishSpecies,FishNumber,PreySpecies,PreyNumber,OcularUnits,Mag,Length_mm,Scope,PreyCount,Comments
201802,150,A. aestivalis,2,Caligidae,1,,,0.8,MZ12,NA,
201802,150,A. aestivalis,2,Caligidae,2,,,2.2,MZ12,NA,
201802,150,A. aestivalis,2,Caligidae,3,,,3.8,MZ12,NA,
201802,150,A. aestivalis,2,Caligidae,4,,,1.3,MZ12,NA,
201802,150,A. aestivalis,2,Caligidae,5,,,0.9,MZ12,NA,
201802,150,A. aestivalis,2,Caligidae,6,,,1.2,MZ12,NA,
201802,150,A. aestivalis,2,Caligidae,7,,,1.6,MZ12,NA,
201802,150,A. aestivalis,2,Caligidae,8,,,1.2,MZ12,NA,
201802,150,A. aestivalis,2,Caligidae,9,,,3.6,MZ12,NA,
201802,150,A. aestivalis,2,Caligidae,10,,,4.1,MZ12,NA,
201802,150,A. aestivalis,2,FishRemains,1,,,25.3,MZ12,NA,
201802,150,A. aestivalis,2,Appendicularian,1,,,1.4,MZ12,NA,
201802,150,A. aestivalis,2,Appendicularian,2,,,1.1,MZ12,NA,
201802,150,A. aestivalis,2,Appendicularian,3,,,0.8,MZ12,NA,
201802,150,A. aestivalis,2,Appendicularian,4,,,1.2,MZ12,NA,
201802,150,A. aestivalis,2,Appendicularian,5,,,0.9,MZ12,NA,
201802,150,A. aestivalis,2,Appendicularian,6,,,1,MZ12,NA,
201802,150,A. aestivalis,2,Appendicularian,7,,,1.1,MZ12,NA,
201802,150,A. aestivalis,2,Appendicularian,8,,,1.3,MZ12,NA,
201802,150,A. aestivalis,2,Appendicularian,9,,,1.6,MZ12,NA,
201802,150,A. aestivalis,2,Appendicularian,10,,,0.8,MZ12,NA,
201802,150,A. aestivalis,2,Cyprid,1,,,0.9,MZ12,NA,
201802,150,A. aestivalis,2,Cyprid,2,,,1,MZ12,NA,
201802,150,A. aestivalis,2,Cyprid,3,,,1.1,MZ12,NA,
201802,150,A. aestivalis,2,Cyprid,4,,,1,MZ12,NA,
201802,150,A. aestivalis,2,Pleuromamma,1,,,3.1,MZ12,NA,
201802,150,A. aestivalis,2,CalanoidaSmall,1,,,0.8,MZ12,NA,
201802,150,A. aestivalis,2,Pseudodiaptomas,1,,,1.1,MZ12,NA,
201802,150,A. aestivalis,2,CalanusC5,1,,,2.8,MZ12,NA,
201802,150,A. aestivalis,2,Hyperiid,1,,,6,MZ12,NA,
201802,150,A. aestivalis,2,Pseudodiaptomas,1,,,1.1,MZ12,NA,
201802,150,A. aestivalis,2,Caligidae,NA,NA,NA,NA,NA,12,
201802,150,A. aestivalis,2,FishRemains,NA,NA,NA,NA,NA,29,
201802,150,A. aestivalis,2,Appendicularian,NA,NA,NA,NA,NA,82,
201802,150,A. aestivalis,2,Cyprid,NA,NA,NA,NA,NA,4,
201802,150,A. aestivalis,2,Pleuromamma,NA,NA,NA,NA,NA,1,
201802,150,A. aestivalis,2,CalanoidaSmall,NA,NA,NA,NA,NA,1,
201802,150,A. aestivalis,2,CalanusC5,NA,NA,NA,NA,NA,4,
201802,150,A. aestivalis,2,Hyperiid,NA,NA,NA,NA,NA,1,
201802,150,A. aestivalis,2,UnknownSoft,NA,NA,NA,NA,NA,1,
201802,150,A. aestivalis,2,Chaetognath,NA,NA,NA,NA,NA,1,
201802,150,A. aestivalis,2,Pseudodiaptomas,NA,NA,NA,NA,NA,1,
201802,150,C. harengus,1,Calanus,1,,,3.1,MZ12,NA,
201802,150,C. harengus,1,Calanus,2,,,3,MZ12,NA,
201802,150,C. harengus,1,Calanus,3,,,2.6,MZ12,NA,
201802,150,C. harengus,1,Calanus,4,,,3.1,MZ12,NA,
201802,150,C. harengus,1,Calanus,5,,,3,MZ12,NA,
201802,150,C. harengus,1,Calanus,6,,,2.9,MZ12,NA,
201802,150,C. harengus,1,Calanus,7,,,3,MZ12,NA,
201802,150,C. harengus,1,Calanus,8,,,2.7,MZ12,NA,
201802,150,C. harengus,1,Calanus,9,,,3,MZ12,NA,
201802,150,C. harengus,1,Calanus,10,,,2.8,MZ12,NA,
201802,150,C. harengus,1,CalanusC5,1,,,2.7,MZ12,NA,
201802,150,C. harengus,1,CalanusC5,2,,,2.6,MZ12,NA,
201802,150,C. harengus,1,CalanusC5,3,,,2.6,MZ12,NA,
201802,150,C. harengus,1,CalanusC5,4,,,2.4,MZ12,NA,
201802,150,C. harengus,1,CalanusC5,5,,,2.4,MZ12,NA,
201802,150,C. harengus,1,CalanusC5,6,,,2.8,MZ12,NA,
201802,150,C. harengus,1,CalanusC5,7,,,2.6,MZ12,NA,
201802,150,C. harengus,1,CalanusC5,8,,,2.8,MZ12,NA,
201802,150,C. harengus,1,CalanusC5,9,,,2.9,MZ12,NA,
201802,150,C. harengus,1,CalanusC5,10,,,2.6,MZ12,NA,
201802,150,C. harengus,1,CalanusC3,1,,,2.2,MZ12,NA,
201802,150,C. harengus,1,CalanusC3,2,,,2.5,MZ12,NA,
201802,150,C. harengus,1,CalanusC3,3,,,2.3,MZ12,NA,
201802,150,C. harengus,1,CalanusC3,4,,,2.8,MZ12,NA,
201802,150,C. harengus,1,CalanusC3,5,,,2.2,MZ12,NA,
201802,150,C. harengus,1,CalanusC3,6,,,2.4,MZ12,NA,
201802,150,C. harengus,1,CalanusC3,7,,,2.3,MZ12,NA,
201802,150,C. harengus,1,CalanusC3,8,,,2.4,MZ12,NA,
201802,150,C. harengus,1,CalanusC3,9,,,2.3,MZ12,NA,
201802,150,C. harengus,1,CalanusC3,10,,,2.3,MZ12,NA,
201802,150,C. harengus,1,Gammarid,1,,,10,MZ12,NA,
201802,150,C. harengus,1,Gammarid,2,,,12.3,MZ12,NA,
201802,150,C. harengus,1,Gammarid,3,,,12.7,MZ12,NA,
201802,150,C. harengus,1,Gammarid,4,,,1.3,MZ12,NA,
201802,150,C. harengus,1,Gammarid,5,,,10.4,MZ12,NA,
201802,150,C. harengus,1,Gammarid,6,,,9.1,MZ12,NA,
201802,150,C. harengus,1,Gammarid,7,,,10.9,MZ12,NA,
201802,150,C. harengus,1,Gammarid,8,,,9.2,MZ12,NA,
201802,150,C. harengus,1,Gammarid,9,,,8.5,MZ12,NA,
201802,150,C. harengus,1,Gammarid,10,,,1.3,MZ12,NA,
201802,150,C. harengus,1,Chaetognath,1,,,27.5,MZ12,NA,
201802,150,C. harengus,1,Chaetognath,2,,,20.6,MZ12,NA,
201802,150,C. harengus,1,Chaetognath,3,,,20.1,MZ12,NA,
201802,150,C. harengus,1,Chaetognath,4,,,23.3,MZ12,NA,
201802,150,C. harengus,1,Chaetognath,5,,,18.4,MZ12,NA,
201802,150,C. harengus,1,Chaetognath,6,,,29.3,MZ12,NA,
201802,150,C. harengus,1,Chaetognath,7,,,19.1,MZ12,NA,
201802,150,C. harengus,1,Chaetognath,8,,,20.2,MZ12,NA,
201802,150,C. harengus,1,Chaetognath,9,,,24.6,MZ12,NA,
201802,150,C. harengus,1,Chaetognath,10,,,20.1,MZ12,NA,
201802,150,C. harengus,1,Pseudodiaptomas,1,,,1.1,MZ12,NA,
201802,150,C. harengus,1,Pseudodiaptomas,2,,,1.2,MZ12,NA,
201802,150,C. harengus,1,Pseudodiaptomas,3,,,1.2,MZ12,NA,
201802,150,C. harengus,1,Pseudodiaptomas,4,,,1.1,MZ12,NA,
201802,150,C. harengus,1,Pseudodiaptomas,5,,,1.3,MZ12,NA,
201802,150,C. harengus,1,Pseudodiaptomas,6,,,1.1,MZ12,NA,
201802,150,C. harengus,1,Pseudodiaptomas,7,,,0.9,MZ12,NA,
201802,150,C. harengus,1,Pseudodiaptomas,8,,,1.2,MZ12,NA,
201802,150,C. harengus,1,Pseudodiaptomas,9,,,1,MZ12,NA,
201802,150,C. harengus,1,Pseudodiaptomas,10,,,0.8,MZ12,NA,
201802,150,C. harengus,1,FishRemains,1,,,38.7,MZ12,NA,
201802,150,C. harengus,1,FishRemains,2,,,28.8,MZ12,NA,
201802,150,C. harengus,1,FishRemains,3,,,34.7,MZ12,NA,
201802,150,C. harengus,1,FishRemains,4,,,30.6,MZ12,NA,
201802,150,C. harengus,1,FishRemains,5,,,30.1,MZ12,NA,
201802,150,C. harengus,1,FishRemains,6,,,19.7,MZ12,NA,
201802,150,C. harengus,1,FishRemains,7,,,21.6,MZ12,NA,
201802,150,C. harengus,1,FishRemains,8,,,27,MZ12,NA,
201802,150,C. harengus,1,FishRemains,9,,,30,MZ12,NA,
201802,150,C. harengus,1,FishRemains,10,,,35.1,MZ12,NA,
201802,150,C. harengus,1,Mertridia,1,,,2.2,MZ12,NA,
201802,150,C. harengus,1,Mertridia,2,,,2.3,MZ12,NA,
201802,150,C. harengus,1,Temora,1,,,1.2,MZ12,NA,
201802,150,C. harengus,1,Temora,2,,,1.1,MZ12,NA,
201802,150,C. harengus,1,Temora,3,,,1,MZ12,NA,
201802,150,C. harengus,1,Temora,4,,,1.2,MZ12,NA,
201802,150,C. harengus,1,Temora,5,,,1.2,MZ12,NA,
201802,150,C. harengus,1,Temora,6,,,1.1,MZ12,NA,
201802,150,C. harengus,1,Temora,7,,,0.7,MZ12,NA,
201802,150,C. harengus,1,Temora,8,,,0.8,MZ12,NA,
201802,150,C. harengus,1,Temora,9,,,1.3,MZ12,NA,
201802,150,C. harengus,1,Neomysis,1,,,5.3,MZ12,NA,
201802,150,C. harengus,1,Neomysis,2,,,5.4,MZ12,NA,
201802,150,C. harengus,1,Neomysis,3,,,4.2,MZ12,NA,
201802,150,C. harengus,1,CalanoidaSmall,1,,,0.8,MZ12,NA,
201802,150,C. harengus,1,CalanoidaSmall,2,,,0.9,MZ12,NA,
201802,150,C. harengus,1,CalanoidaSmall,3,,,0.8,MZ12,NA,
201802,150,C. harengus,1,CalanoidaSmall,4,,,0.7,MZ12,NA,
201802,150,C. harengus,1,CalanoidaSmall,5,,,0.8,MZ12,NA,
201802,150,C. harengus,1,CalanoidaSmall,6,,,0.7,MZ12,NA,
201802,150,C. harengus,1,CalanoidaSmall,7,,,0.8,MZ12,NA,
201802,150,C. harengus,1,CalanoidaSmall,8,,,0.7,MZ12,NA,
201802,150,C. harengus,1,CalanoidaSmall,9,,,0.8,MZ12,NA,
201802,150,C. harengus,1,CalanoidaSmall,10,,,0.9,MZ12,NA,
201802,150,C. harengus,1,Caligidae,1,,,1.5,MZ12,NA,
201802,150,C. harengus,1,Caligidae,2,,,1.4,MZ12,NA,
201802,150,C. harengus,1,Caligidae,3,,,2.9,MZ12,NA,
201802,150,C. harengus,1,Caligidae,4,,,4.5,MZ12,NA,
201802,150,C. harengus,1,Tortanus,1,,,1.6,MZ12,NA,
201802,150,C. harengus,1,Tortanus,2,,,1.6,MZ12,NA,
201802,150,C. harengus,1,Cyprid,1,,,1,MZ12,NA,
201802,150,C. harengus,1,Cyprid,2,,,1.1,MZ12,NA,
201802,150,C. harengus,1,Cyprid,3,,,0.9,MZ12,NA,
201802,150,C. harengus,1,Cyprid,4,,,0.9,MZ12,NA,
201802,150,C. harengus,1,Themisto,1,,,1,MZ12,NA,
201802,150,C. harengus,1,Themisto,2,,,5.8,MZ12,NA,
201802,150,C. harengus,1,Themisto,3,,,2.2,MZ12,NA,
201802,150,C. harengus,1,Themisto,4,,,3.1,MZ12,NA,
201802,150,C. harengus,1,ShrimpPinead,1,,,2.1,MZ12,NA,
201802,150,C. harengus,1,ShrimpPinead,2,,,2.1,MZ12,NA,
201802,150,C. harengus,1,ShrimpPinead,3,,,3.4,MZ12,NA,
201802,150,C. harengus,1,CrabZooea,1,,,3.2,MZ12,NA,
201802,150,C. harengus,1,CrabZooea,NA,NA,NA,NA,NA,1,
201802,150,C. harengus,1,ShrimpPinead,NA,NA,NA,NA,NA,3,
201802,150,C. harengus,1,Themisto,NA,NA,NA,NA,NA,4,
201802,150,C. harengus,1,Cyprid,NA,NA,NA,NA,NA,4,
201802,150,C. harengus,1,Tortanus,NA,NA,NA,NA,NA,2,
201802,150,C. harengus,1,Caligidae,NA,NA,NA,NA,NA,4,
201802,150,C. harengus,1,CalanoidaSmall,NA,NA,NA,NA,NA,2,
201802,150,C. harengus,1,Neomysis,NA,NA,NA,NA,NA,3,
201802,150,C. harengus,1,Temora,NA,NA,NA,NA,NA,9,
201802,150,C. harengus,1,Mertridia,NA,NA,NA,NA,NA,2,
201802,150,C. harengus,1,FishRemains,NA,NA,NA,NA,NA,26,
201802,150,C. harengus,1,Pseudodiaptomas,NA,NA,NA,NA,NA,92,
201802,150,C. harengus,1,Chaetognath,NA,NA,NA,NA,NA,359,
201802,150,C. harengus,1,Gammarid,NA,NA,NA,NA,NA,12,
201802,150,C. harengus,1,CalanusC3,NA,NA,NA,NA,NA,10,
201802,150,C. harengus,1,CalanusC5,NA,NA,NA,NA,NA,160,
201802,150,C. harengus,1,Calanus,NA,NA,NA,NA,NA,1221,
201802,150,C. harengus,1,CopepodDigested,NA,NA,NA,NA,NA,930,
201802,164,P. triacanthus,2,Appendicularian,1,,,1.1,MZ12,NA,
201802,164,P. triacanthus,2,Appendicularian,2,,,1.8,MZ12,NA,
201802,164,P. triacanthus,2,Appendicularian,3,,,1.7,MZ12,NA,
201802,164,P. triacanthus,2,Appendicularian,4,,,1.4,MZ12,NA,
201802,164,P. triacanthus,2,Mertridia,1,,,2.4,MZ12,NA,
201802,164,P. triacanthus,2,UnknownSoft,NA,NA,NA,NA,NA,17,
201802,164,P. triacanthus,2,ShrimpPinead,NA,NA,NA,NA,NA,2,
201802,164,P. triacanthus,2,Appendicularian,NA,NA,NA,NA,NA,4,
201802,164,P. triacanthus,2,Mertridia,NA,NA,NA,NA,NA,1,
201802,162,P. triacanthus,3,Appendicularian,1,,,1.3,MZ12,NA,
201802,162,P. triacanthus,3,Appendicularian,2,,,2.2,MZ12,NA,
201802,162,P. triacanthus,3,Appendicularian,3,,,1.7,MZ12,NA,
201802,162,P. triacanthus,3,Appendicularian,4,,,1.4,MZ12,NA,
201802,162,P. triacanthus,3,Sapphirinidae,1,,,1.8,MZ12,NA,
201802,162,P. triacanthus,3,Ostracod,1,,,1.4,MZ12,NA,
201802,162,P. triacanthus,3,Themisto,1,,,7.2,MZ12,NA,
201802,162,P. triacanthus,3,Appendicularian,NA,NA,NA,NA,NA,4,
201802,162,P. triacanthus,3,Sapphirinidae,NA,NA,NA,NA,NA,1,
201802,162,P. triacanthus,3,Ostracod,NA,NA,NA,NA,NA,1,
201802,162,P. triacanthus,3,Themisto,NA,NA,NA,NA,NA,1,
201802,162,P. triacanthus,3,UnknownSoft,NA,NA,NA,NA,NA,86,
201802,162,P. triacanthus,2,Sapphirinidae,1,,,1.6,MZ12,NA,
201802,162,P. triacanthus,2,Sapphirinidae,2,,,1.8,MZ12,NA,
201802,162,P. triacanthus,2,Sapphirinidae,3,,,2,MZ12,NA,
201802,162,P. triacanthus,2,Sapphirinidae,4,,,1.8,MZ12,NA,
201802,162,P. triacanthus,2,Sapphirinidae,5,,,2.1,MZ12,NA,
201802,162,P. triacanthus,2,Sapphirinidae,6,,,1.2,MZ12,NA,
201802,162,P. triacanthus,2,Sapphirinidae,7,,,1.7,MZ12,NA,
201802,162,P. triacanthus,2,Sapphirinidae,8,,,1.7,MZ12,NA,
201802,162,P. triacanthus,2,Sapphirinidae,9,,,1.7,MZ12,NA,
201802,162,P. triacanthus,2,Sapphirinidae,10,,,1.5,MZ12,NA,
201802,162,P. triacanthus,2,Calanus,1,,,2.2,MZ12,NA,
201802,162,P. triacanthus,2,Calanus,2,,,2.6,MZ12,NA,
201802,162,P. triacanthus,2,Themisto,1,,,7.7,MZ12,NA,
201802,162,P. triacanthus,2,Themisto,2,,,6.5,MZ12,NA,
201802,162,P. triacanthus,2,CalanoidaSmall,1,,,1.2,MZ12,NA,
201802,162,P. triacanthus,2,Themisto,NA,NA,NA,NA,NA,2,
201802,162,P. triacanthus,2,CalanoidaSmall,NA,NA,NA,NA,NA,1,
201802,162,P. triacanthus,2,Sapphirinidae,NA,NA,NA,NA,NA,19,
201802,162,P. triacanthus,2,Calanus,NA,NA,NA,NA,NA,2,
201802,162,P. triacanthus,2,UnknownSoft,NA,NA,NA,NA,NA,471,
201802,162,P. triacanthus,2,Phronima,NA,NA,NA,NA,NA,1,